"Date","Price","Open","High","Low","Change %"
"Sep 30, 1983","1.4977","1.4977","1.4977","1.4977","-0.12%"
"Sep 29, 1983","1.4995","1.4995","1.4995","1.4995","0.02%"
"Sep 28, 1983","1.4992","1.4992","1.4992","1.4992","0.11%"
"Sep 27, 1983","1.4975","1.4975","1.4975","1.4975","-0.38%"
"Sep 26, 1983","1.5032","1.5032","1.5032","1.5032","0.03%"
"Sep 23, 1983","1.5027","1.5027","1.5027","1.5027","0.35%"
"Sep 22, 1983","1.4975","1.4975","1.4975","1.4975","-0.56%"
"Sep 21, 1983","1.5060","1.5060","1.5060","1.5060","-0.13%"
"Sep 20, 1983","1.5080","1.5080","1.5080","1.5080","-0.07%"
"Sep 19, 1983","1.5090","1.5090","1.5090","1.5090","0.47%"
"Sep 16, 1983","1.5020","1.5020","1.5020","1.5020","0.33%"
"Sep 15, 1983","1.4970","1.4970","1.4970","1.4970","0.47%"
"Sep 14, 1983","1.4900","1.4900","1.4900","1.4900","-0.23%"
"Sep 13, 1983","1.4935","1.4935","1.4935","1.4935","-0.50%"
"Sep 12, 1983","1.5010","1.5010","1.5010","1.5010","0.47%"
"Sep 09, 1983","1.4940","1.4940","1.4940","1.4940","0.12%"
"Sep 08, 1983","1.4922","1.4922","1.4922","1.4922","0.11%"
"Sep 07, 1983","1.4905","1.4905","1.4905","1.4905","-0.53%"
"Sep 06, 1983","1.4985","1.4985","1.4985","1.4985","0.23%"
"Sep 02, 1983","1.4950","1.4950","1.4950","1.4950","-0.16%"
"Sep 01, 1983","1.4974","1.4974","1.4974","1.4974","0.23%"
"Aug 31, 1983","1.4940","1.4940","1.4940","1.4940","-0.32%"
"Aug 30, 1983","1.4988","1.4988","1.4988","1.4988","-0.15%"
"Aug 29, 1983","1.5010","1.5010","1.5010","1.5010","-0.23%"
"Aug 26, 1983","1.5045","1.5045","1.5045","1.5045","-0.10%"
"Aug 25, 1983","1.5060","1.5060","1.5060","1.5060","-0.91%"
"Aug 24, 1983","1.5198","1.5198","1.5198","1.5198","-0.72%"
"Aug 23, 1983","1.5308","1.5308","1.5308","1.5308","0.18%"
"Aug 22, 1983","1.5280","1.5280","1.5280","1.5280","0.73%"
"Aug 19, 1983","1.5170","1.5170","1.5170","1.5170","-0.41%"
"Aug 18, 1983","1.5233","1.5233","1.5233","1.5233","0.58%"
"Aug 17, 1983","1.5145","1.5145","1.5145","1.5145","0.46%"
"Aug 16, 1983","1.5075","1.5075","1.5075","1.5075","1.01%"
"Aug 15, 1983","1.4925","1.4925","1.4925","1.4925","0.74%"
"Aug 12, 1983","1.4815","1.4815","1.4815","1.4815","0.16%"
"Aug 11, 1983","1.4792","1.4792","1.4792","1.4792","-0.12%"
"Aug 10, 1983","1.4810","1.4810","1.4810","1.4810","-0.87%"
"Aug 09, 1983","1.4940","1.4940","1.4940","1.4940","0.20%"
"Aug 08, 1983","1.4910","1.4910","1.4910","1.4910","0.40%"
"Aug 05, 1983","1.4850","1.4850","1.4850","1.4850","-0.17%"
"Aug 04, 1983","1.4875","1.4875","1.4875","1.4875","-1.22%"
"Aug 03, 1983","1.5058","1.5058","1.5058","1.5058","-0.09%"
"Aug 02, 1983","1.5072","1.5072","1.5072","1.5072","-0.12%"
"Aug 01, 1983","1.5090","1.5090","1.5090","1.5090","-0.72%"
"Jul 29, 1983","1.5200","1.5200","1.5200","1.5200","-0.35%"
"Jul 28, 1983","1.5253","1.5253","1.5253","1.5253","-0.14%"
"Jul 27, 1983","1.5275","1.5275","1.5275","1.5275","0.16%"
"Jul 26, 1983","1.5250","1.5250","1.5250","1.5250","0.23%"
"Jul 25, 1983","1.5215","1.5215","1.5215","1.5215","0.07%"
"Jul 22, 1983","1.5205","1.5205","1.5205","1.5205","-0.30%"
"Jul 21, 1983","1.5250","1.5250","1.5250","1.5250","0.07%"
"Jul 20, 1983","1.5240","1.5240","1.5240","1.5240","0.40%"
"Jul 19, 1983","1.5179","1.5179","1.5179","1.5179","-0.12%"
"Jul 18, 1983","1.5197","1.5197","1.5197","1.5197","0.21%"
"Jul 15, 1983","1.5165","1.5165","1.5165","1.5165","-0.75%"
"Jul 14, 1983","1.5280","1.5280","1.5280","1.5280","-0.12%"
"Jul 13, 1983","1.5298","1.5298","1.5298","1.5298","-0.11%"
"Jul 12, 1983","1.5315","1.5315","1.5315","1.5315","-0.16%"
